year,date,site,region,exposure.code,coastal.code,latitude,longitude,depth,quadrat,time,sand,pebble,rock,cobble,boulder,ledge,sac,alar,agar,ldig,sder,desm,kelp,ulva,chaet,codm,poly,rhod,ptilo,porph,palm,phyc,ccrisp,callo,phyll,coral,bonne,cystoc,crust,urchin
2017,7/31/17,western.ear.island.IAH,penobscot.bay,5,5,44.005,-68.65243,10,1,nr,0,0,0,0,0,100,2,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,nr,0
2017,7/31/17,western.ear.island.IAH,penobscot.bay,5,5,44.005,-68.65243,10,2,nr,0,0,0,0,0,100,4,4,2,0,0,6,10,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,nr,0
2017,7/31/17,western.ear.island.IAH,penobscot.bay,5,5,44.005,-68.65243,10,3,nr,0,0,0,0,0,100,2,0,4,0,0,2,6,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,nr,0
2017,7/31/17,western.ear.island.IAH,penobscot.bay,5,5,44.005,-68.65243,10,4,nr,0,0,0,0,0,100,6,0,0,0,0,2,6,2,0,0,2,0,0,0.1,0,0,2,0,0,0,0,0,nr,0
2017,7/31/17,western.ear.island.IAH,penobscot.bay,5,5,44.005,-68.65243,10,5,nr,0,0,0,0,0,100,10,0,4,0,0,2,14,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0.1,nr,0
2017,7/31/17,western.ear.island.IAH,penobscot.bay,5,5,44.005,-68.65243,10,6,nr,0,0,0,0,0,100,4,0,2,0,0,4,6,0,0,0,2,0,0,0,0,0,3,0,0,0,0,2,nr,0
2017,7/31/17,eastern.ear.island.IAH,penobscot.bay,3,4,44.0149,-68.6078,5,1,nr,0,0,0,0,0,100,60,0,0,30,0,0,90,4,0.1,0,1,4,0,0,0,0,15,0.1,0,2,0,0,nr,0
2017,7/31/17,eastern.ear.island.IAH,penobscot.bay,3,4,44.0149,-68.6078,5,2,nr,0,0,0,0,0,100,75,0,5,0,0,0,80,6,1,0,4,1,0,3,0,0,20,0,0,4,0,0,nr,0
2017,7/31/17,eastern.ear.island.IAH,penobscot.bay,3,4,44.0149,-68.6078,5,3,nr,0,0,0,0,0,100,30,0,0,40,0,0,70,4,1,0,0,8,0,1,0,0,20,0,0,2,0,4,nr,0
2017,7/31/17,eastern.ear.island.IAH,penobscot.bay,3,4,44.0149,-68.6078,5,4,nr,0,0,0,0,0,100,40,0,0,30,0,0,70,10,1,0,2,0,0,1,0,0,24,0,0,1,0,6,nr,0
