year,date,site,region,exposure.code,coastal.code,latitude,longitude,depth,quadrat,time,sand,pebble,rock,cobble,boulder,ledge,sac,alar,agar,ldig,sder,desm,kelp,ulva,chaet,codm,poly,rhod,ptilo,porph,palm,phyc,ccrisp,callo,phyll,coral,bonne,cystoc,crust,urchin
2004,7/22/04,york.ledge,york,4,4,43.092,-70.5915,10,8,12:15,nr,nr,nr,nr,nr,nr,0,0,21,0,0,0,21,0,0,0,9,0,6,0,0,0,38,nr,nr,1,nr,nr,nr,nr
2004,7/22/04,york.ledge,york,4,4,43.092,-70.5915,10,9,12:15,nr,nr,nr,nr,nr,nr,0,0,65,8,0,0,73,0,0,0,22,0,0,0,0,42,1,nr,nr,0,nr,nr,nr,nr
2004,7/22/04,york.ledge,york,4,4,43.092,-70.5915,10,10,12:15,nr,nr,nr,nr,nr,nr,0,0,59,35,0,0,94,0,0,0,42,0,0,0,0,22,2,nr,nr,0,nr,nr,nr,nr
2004,7/22/04,york.ledge,york,4,4,43.092,-70.5915,10,11,12:15,nr,nr,nr,nr,nr,nr,0,0,16,19,0,0,35,0,0,0,5,2,1,0,0,0,61,nr,nr,0,nr,nr,nr,nr
2004,7/22/04,york.ledge,york,4,4,43.092,-70.5915,10,12,12:15,nr,nr,nr,nr,nr,nr,0,0,32,34,0,0,66,0,0,0,34,0,0,0,0,29,11,nr,nr,8,nr,nr,nr,nr
2004,7/22/04,york.ledge,york,4,4,43.092,-70.5915,10,13,12:15,nr,nr,nr,nr,nr,nr,0,0,32,16,0,0,48,0,0,0,39,0,0,0,0,18,32,nr,nr,0,nr,nr,nr,nr
2004,7/22/04,york.ledge,york,4,4,43.092,-70.5915,10,14,12:15,nr,nr,nr,nr,nr,nr,0,0,31,23,0,0,54,0,0,0,0,0,0,0,0,11,83,nr,nr,4,nr,nr,nr,nr
2004,7/22/04,york.ledge,york,4,4,43.092,-70.5915,10,15,12:15,nr,nr,nr,nr,nr,nr,0,0,21,8,0,0,29,0,0,0,1,1,0,0,0,18,83,nr,nr,0,nr,nr,nr,nr
2004,7/22/04,york.ledge,york,4,4,43.092,-70.5915,10,16,12:15,nr,nr,nr,nr,nr,nr,0,0,36,2,0,0,38,0,0,0,19,0,0,0,0,10,73,nr,nr,1,nr,nr,nr,nr
2004,7/22/04,york.ledge,york,4,4,43.092,-70.5915,10,17,12:15,nr,nr,nr,nr,nr,nr,0,0,62,0,0,0,62,0,0,0,28,0,29,0,0,34,18,nr,nr,0,nr,nr,nr,nr
2004,7/22/04,york.ledge,york,4,4,43.092,-70.5915,10,18,12:15,nr,nr,nr,nr,nr,nr,21,0,62,0,0,0,83,0,0,0,57,0,8,0,0,43,3,nr,nr,0,nr,nr,nr,nr
2004,7/22/04,york.ledge,york,4,4,43.092,-70.5915,10,19,12:15,nr,nr,nr,nr,nr,nr,0,0,71,22,0,0,93,0,0,0,53,0,22,0,0,47,6,nr,nr,0,nr,nr,nr,nr
2004,7/22/04,york.ledge,york,4,4,43.092,-70.5915,10,20,12:15,nr,nr,nr,nr,nr,nr,0,0,88,23,0,0,111,0,0,0,62,0,24,0,0,43,4,nr,nr,0,nr,nr,nr,nr
2004,7/22/04,cutts.island,york,4,3,43.094,-70.6476,5,1,10:26,nr,nr,nr,nr,nr,nr,0,0,31,0,0,0,31,0,0,0,2,2,0,0,0,3,2,nr,nr,0,nr,nr,nr,nr
2004,7/22/04,cutts.island,york,4,3,43.094,-70.6476,5,2,10:26,nr,nr,nr,nr,nr,nr,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,8,nr,nr,1,nr,nr,nr,nr
2004,7/22/04,cutts.island,york,4,3,43.094,-70.6476,5,3,10:26,nr,nr,nr,nr,nr,nr,59,0,0,0,0,12,59,0,0,0,8,0,0,0,0,0,12,nr,nr,0,nr,nr,nr,nr
2004,7/22/04,cutts.island,york,4,3,43.094,-70.6476,5,4,10:26,nr,nr,nr,nr,nr,nr,2,0,54,4,0,0,60,0,0,0,2,0,2,0,0,3,21,nr,nr,2,nr,nr,nr,nr
2004,7/22/04,cutts.island,york,4,3,43.094,-70.6476,5,5,10:15,nr,nr,nr,nr,nr,nr,0,0,23,0,0,3,23,0,0,0,0,0,2,0,0,2,34,nr,nr,0,nr,nr,nr,nr
2004,7/22/04,cutts.island,york,4,3,43.094,-70.6476,5,6,10:15,nr,nr,nr,nr,nr,nr,0,0,7,0,0,0,7,0,0,0,0,0,1,0,0,2,39,nr,nr,0,nr,nr,nr,nr
2004,7/22/04,cutts.island,york,4,3,43.094,-70.6476,5,7,10:15,nr,nr,nr,nr,nr,nr,4,0,12,0,0,0,16,0,4,0,0,0,0,10,0,0,54,nr,nr,0,nr,nr,nr,nr
2004,7/22/04,cutts.island,york,4,3,43.094,-70.6476,5,8,10:15,nr,nr,nr,nr,nr,nr,82,0,0,0,0,15,82,0,0,0,5,0,0,8,0,0,67,nr,nr,0,nr,nr,nr,nr
2004,7/22/04,cutts.island,york,4,3,43.094,-70.6476,5,9,10:20,nr,nr,nr,nr,nr,nr,84,0,0,0,0,0,84,0,0,0,21,0,0,3,0,0,62,nr,nr,0,nr,nr,nr,nr
2004,7/22/04,cutts.island,york,4,3,43.094,-70.6476,5,10,10:20,nr,nr,nr,nr,nr,nr,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,88,nr,nr,1,nr,nr,nr,nr
2004,7/22/04,cutts.island,york,4,3,43.094,-70.6476,5,11,10:20,nr,nr,nr,nr,nr,nr,17,0,0,6,0,0,23,0,0,0,0,0,0,0,0,1,95,nr,nr,0,nr,nr,nr,nr
