year,date,site,region,exposure.code,coastal.code,latitude,longitude,depth,quadrat,time,sand,pebble,rock,cobble,boulder,ledge,sac,alar,agar,ldig,sder,desm,kelp,ulva,chaet,codm,poly,rhod,ptilo,porph,palm,phyc,ccrisp,callo,phyll,coral,bonne,cystoc,crust,urchin
2016,9/2/16,monhegan.island,midcoast,5,5,43.76008,-69.3105,10,1,9:30,0,0,0,0,100,0,0,1,1,3,0,0,5,0,0,0,2,0,0,0,0,0,10,nr,nr,3,nr,nr,nr,0
2016,9/2/16,monhegan.island,midcoast,5,5,43.76008,-69.3105,10,2,9:30,0,0,0,0,0,100,0,0,2,2,0,0,4,0.1,0,0,5,0,0,0,0,0,15,nr,nr,25,nr,nr,nr,0
2016,9/2/16,monhegan.island,midcoast,5,5,43.76008,-69.3105,10,3,9:30,0,0,0,0,100,0,0,0,1,3,0,0,4,0,0,0,2,0,0,0,0,0,15,nr,nr,30,nr,nr,nr,0
2016,9/2/16,monhegan.island,midcoast,5,5,43.76008,-69.3105,10,4,9:30,0,0,0,0,0,100,0,0,0,6,0,0,6,0,0,0,15,0,0,0,0,0,5,nr,nr,30,nr,nr,nr,0
2016,9/2/16,monhegan.island,midcoast,5,5,43.76008,-69.3105,10,5,9:30,0,0,0,50,50,0,0,0,0,3,0,0,3,0,0,0,5,0,0,0,0,0,25,nr,nr,30,nr,nr,nr,0
2016,9/2/16,monhegan.island,midcoast,5,5,43.76008,-69.3105,10,6,9:30,20,0,0,0,80,0,0,0,2,10,0,0,12,0,0,0,5,0,0,0,0,0,20,nr,nr,50,nr,nr,nr,0
2016,9/2/16,monhegan.island,midcoast,5,5,43.76008,-69.3105,10,7,9:30,20,0,0,0,80,0,0,0,2,3,0,0,5,0,0,0,1,0,0,0,0,1,15,nr,nr,60,nr,nr,nr,0
2016,9/2/16,monhegan.island,midcoast,5,5,43.76008,-69.3105,10,8,9:30,20,0,0,0,80,0,0,1,6,5,0,0,12,0,1,0,3,0,0,0,0,0,40,nr,nr,35,nr,nr,nr,0
2016,9/2/16,monhegan.island,midcoast,5,5,43.76008,-69.3105,10,9,9:30,10,0,0,0,90,0,0,0,8,15,0,0,23,0,0,0,4,0,0,0,0,0,25,nr,nr,50,nr,nr,nr,0
2016,9/2/16,monhegan.island,midcoast,5,5,43.76008,-69.3105,10,10,9:30,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,5,nr,nr,60,nr,nr,nr,0
2016,9/2/16,monhegan.island,midcoast,5,5,43.76008,-69.3105,10,11,9:30,0,0,0,0,100,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,50,nr,nr,30,nr,nr,nr,0
2016,9/2/16,monhegan.island,midcoast,5,5,43.76008,-69.3105,10,12,9:30,10,0,0,0,90,0,0,0,1,1,0,0,2,0,0,0,2,0,0,0,0,0,12,nr,nr,70,nr,nr,nr,0
2016,9/2/16,monhegan.island,midcoast,5,5,43.76008,-69.3105,10,13,9:30,0,0,0,0,0,100,0,0,10,0,0,0,10,0,1,0,6,0,0,0,0,0,25,nr,nr,60,nr,nr,nr,0
2016,9/2/16,monhegan.island,midcoast,5,5,43.76008,-69.3105,10,14,9:30,10,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,20,nr,nr,70,nr,nr,nr,0
2016,9/2/16,monhegan.island,midcoast,5,5,43.76008,-69.3105,10,15,9:30,0,0,0,0,100,0,0,0,2,0,0,0,2,0,0,0,9,0,0,0,0,0,45,nr,nr,45,nr,nr,nr,0
2016,9/2/16,monhegan.island,midcoast,5,5,43.76008,-69.3105,10,16,9:30,0,0,0,0,100,0,0,0,0,5,0,0,5,0,0,0,4,0,0,0,0,0,55,nr,nr,40,nr,nr,nr,0
2016,9/2/16,monhegan.island,midcoast,4,5,43.7679,-69.3224,5,1,10:50,90,0,0,0,10,0,40,0,0,0,0,0,40,0,1,0,5,0,0,0,0,0,3,nr,nr,0,nr,nr,nr,0
2016,9/2/16,monhegan.island,midcoast,4,5,43.7679,-69.3224,5,2,10:50,20,0,0,0,80,0,50,0,0,0,0,0,50,0,2,0,5,0,0,0,0,0,15,nr,nr,3,nr,nr,nr,0
2016,9/2/16,monhegan.island,midcoast,4,5,43.7679,-69.3224,5,3,10:50,50,0,0,50,0,0,50,0,0,0,0,0,50,1,0,0,15,0,0,0,0,0,13,nr,nr,1,nr,nr,nr,2
2016,9/2/16,monhegan.island,midcoast,4,5,43.7679,-69.3224,5,4,10:50,0,0,0,0,0,100,1,0,0,0,0,0,1,1,1,1,10,0,0,0,0,0,30,nr,nr,0,nr,nr,nr,0
2016,9/2/16,monhegan.island,midcoast,4,5,43.7679,-69.3224,5,5,10:50,20,0,0,0,80,0,50,0,0,0,0,1,50,0,1,1,25,0,0,0,0,0,15,nr,nr,1,nr,nr,nr,0
2016,9/2/16,monhegan.island,midcoast,4,5,43.7679,-69.3224,5,6,10:50,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,25,0,0,0,0,0,25,nr,nr,0,nr,nr,nr,1
2016,9/2/16,monhegan.island,midcoast,4,5,43.7679,-69.3224,5,7,10:50,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,40,nr,nr,0,nr,nr,nr,1
2016,9/2/16,monhegan.island,midcoast,4,5,43.7679,-69.3224,5,8,10:50,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,3,10,0,0,0,0,0,45,nr,nr,0,nr,nr,nr,0
2016,9/2/16,monhegan.island,midcoast,4,5,43.7679,-69.3224,5,9,10:50,10,0,0,0,90,0,2,0,0,0,0,0,2,1,0,0,40,0,0,0,0,0,20,nr,nr,1,nr,nr,nr,0
2016,9/2/16,monhegan.island,midcoast,4,5,43.7679,-69.3224,5,10,10:50,25,0,0,0,75,0,20,0,0,0,0,0,20,0,1,1,50,0,0,0,0,0,15,nr,nr,1,nr,nr,nr,0
2016,9/2/16,monhegan.island,midcoast,4,5,43.7679,-69.3224,5,11,10:50,0,0,0,0,0,100,4,0,0,0,0,0,4,1,1,1,20,0,0,0,0,0,50,nr,nr,1,nr,nr,nr,0
2016,9/2/16,monhegan.island,midcoast,4,5,43.7679,-69.3224,5,12,10:50,0,0,0,0,100,0,5,0,0,0,0,0,5,0,1,2,25,0,0,0,0,0,35,nr,nr,1,nr,nr,nr,0
2016,9/2/16,monhegan.island,midcoast,4,5,43.7679,-69.3224,5,13,10:50,10,0,0,0,0,90,20,0,0,0,0,0,20,0,1,1,30,0,0,0,0,0,45,nr,nr,0,nr,nr,nr,0
2016,9/2/16,monhegan.island,midcoast,4,5,43.7679,-69.3224,5,14,10:50,0,0,0,0,0,100,2,0,0,0,0,0,2,1,1,2,20,1,0,0,0,0,60,nr,nr,0,nr,nr,nr,0
2016,9/2/16,monhegan.island,midcoast,4,5,43.7679,-69.3224,5,15,10:50,0,0,0,0,0,100,1,0,0,0,0,0,1,0,1,0,30,0,0,0,0,0,60,nr,nr,0,nr,nr,nr,0
