Region,Trend over Time,SE,df,Z,p
York,-0.4104381994429254,1.5131371469633959,25029,-0.271249833676084,0.7862011243445057
Casco Bay,-0.5558157141624667,1.002297365318606,25029,-0.554541729226023,0.5792131104185554
Midcoast,-1.7230800726870283,0.33579439054329097,25029,-5.13135454674871,2.8981219283856615e-7
Penobscot Bay,-0.34081772492202034,0.2923202269821995,25029,-1.1659053786338707,0.24366381397528986
MDI,-0.06249586230212151,0.18936453333924413,25029,-0.3300293946288293,0.741380513678827
Downeast,0.204018724267734,0.09171545373508111,25029,2.224474894460419,0.02612539298843602
