region,name,mean_diff_2004_to_2018,lq,uq
York,agar,0.04845435625188424,-2.2231842890948297,2.734475788567781
York,alar,-0.02854391070544682,-1.3609946537874136,1.5113885554467685
York,ldig,-1.8496614019655944,-4.879231828383962,1.2879062471192304
York,sac,12.962586046883672,-3.4405611767875057,34.976578830910015
Casco Bay,agar,-2.5624654625663927,-5.779568709362741,0.5975841926876783
Casco Bay,alar,-1.1895096941262928,-3.136217785121857,0.8751274557159008
Casco Bay,ldig,2.190326816462899,-2.549319746641262,9.10943887276059
Casco Bay,sac,-22.91212716306258,-41.049318479557485,-8.3504612700746
Midcoast,agar,-1.0781749296924568,-2.965980797789958,1.309832515864662
Midcoast,alar,-0.27742575521030677,-1.680644375320077,1.5255398100392876
Midcoast,ldig,12.894520643029827,2.2411920534438714,28.644208553714094
Midcoast,sac,-10.113865022477851,-25.661030768148393,10.09335312081929
Penobscot Bay,agar,-2.6427068623429073,-5.765174861103951,0.8060029435847835
Penobscot Bay,alar,-3.5474843304728214,-5.848974570905113,-1.2204285682829341
Penobscot Bay,ldig,4.363075100326989,-13.364572853487395,24.181802574857628
Penobscot Bay,sac,-0.360358136448872,-9.717120787646255,12.177684843797467
MDI,agar,-7.278408977699908,-14.083211693712546,-1.9021623933074323
MDI,alar,-4.849974147045647,-10.318889967991003,0.2321817377212001
MDI,ldig,27.508997038763148,-4.577249397450402,57.04150171852123
MDI,sac,4.511240633726685,-24.98035784722897,40.859527421227774
Downeast,agar,-2.6094757456463995,-8.93276134182387,2.3454273786129165
Downeast,alar,-4.7027046171504425,-9.912354667477423,-0.8647630683851256
Downeast,ldig,51.973182506607756,27.04372655845888,72.4431475108258
Downeast,sac,-9.238233958362068,-31.034522162805125,4.3232112863491095
