region,year,stress.temp,mean_temp,max_temp,stress.temp_mn,mean_temp_mn,max_temp_mn,stress.temp_dev,mean_temp_dev,max_temp_dev,depth,urchin,kelp,latitude,longitude,exposure,coastal,kelp.perc,logit.kelp,urchin.limit,urchin_mn,urchin_dev
casco,2001,12.724999989999997,15.08341603677174,18.65,38.96454258888889,15.839823751965595,19.80211352611111,-26.239542598888892,-0.7564077151938555,-1.152113526111112,5,0,7.7,43.75199,-69.9342,3,3,0.077,-2.4838238126491685,0,0.06304347826086959,-0.06304347826086959
downeast,2001,0,12.143680836750434,14.3413342178926,0.47777777777777786,11.748042647239586,15.167292401022264,-0.47777777777777786,0.39563818951084784,-0.8259581831296643,5,0.4,100,44.38911,-67.96743,4,3,0.9995,7.60040233450051,0,2.887755102040818,-2.487755102040818
downeast,2001,0,12.143680836750434,14.3413342178926,0.47777777777777786,11.748042647239586,15.167292401022264,-0.47777777777777786,0.39563818951084784,-0.8259581831296643,5,16.7,62,44.38902,-67.96101,4,3,0.62,0.4895482253187058,1,2.887755102040818,13.812244897959182
downeast,2001,0,12.143680836750434,14.3413342178926,0.47777777777777786,11.748042647239586,15.167292401022264,-0.47777777777777786,0.39563818951084784,-0.8259581831296643,5,0,21.5,44.40725,-67.96043,3,3,0.215,-1.2950456896547458,0,2.887755102040818,-2.887755102040818
downeast,2001,0,12.143680836750434,14.3413342178926,0.47777777777777786,11.748042647239586,15.167292401022264,-0.47777777777777786,0.39563818951084784,-0.8259581831296643,5,0,93.5,44.41131,-67.91079,3,3,0.935,2.666159259393051,0,2.887755102040818,-2.887755102040818
downeast,2001,0,12.143680836750434,14.3413342178926,0.47777777777777786,11.748042647239586,15.167292401022264,-0.47777777777777786,0.39563818951084784,-0.8259581831296643,5,7.9,32.2,44.41121,-67.88523,3,3,0.322,-0.7445957423959871,0,2.887755102040818,5.0122448979591825
downeast,2001,0,12.143680836750434,14.3413342178926,0.47777777777777786,11.748042647239586,15.167292401022264,-0.47777777777777786,0.39563818951084784,-0.8259581831296643,5,0.1,97.5,44.39758,-67.8667,4,4,0.975,3.6635616461296454,0,2.887755102040818,-2.787755102040818
downeast,2001,0,12.143680836750434,14.3413342178926,0.47777777777777786,11.748042647239586,15.167292401022264,-0.47777777777777786,0.39563818951084784,-0.8259581831296643,5,0,58.5,44.40659,-67.86653,4,4,0.585,0.34333332700115804,0,2.887755102040818,-2.887755102040818
downeast,2001,0,12.143680836750434,14.3413342178926,0.47777777777777786,11.748042647239586,15.167292401022264,-0.47777777777777786,0.39563818951084784,-0.8259581831296643,5,22.1,46.2,44.47852,-67.80993,3,3,0.462,-0.15229366908004557,1,2.887755102040818,19.212244897959184
downeast,2001,0,12.143680836750434,14.3413342178926,0.47777777777777786,11.748042647239586,15.167292401022264,-0.47777777777777786,0.39563818951084784,-0.8259581831296643,5,11,28.7,44.38803,-67.78524,5,5,0.287,-0.9099992046546751,1,2.887755102040818,8.112244897959183
