year,region,latitude,longitude,oisst_id,mean_spring_temp_oisst,mean_summer_temp_oisst,mean_spring_temp_oisst_site,mean_summer_temp_oisst_site,mean_spring_temp_oisst_dev,mean_summer_temp_oisst_dev,lag_mean_spring_temp_oisst_dev,lag_mean_summer_temp_oisst_dev
2010,penobscot.bay,43.988892,-69.065304,48,6.479782589103866,14.849098322821444,5.42983695814287,14.262759553713007,1.0499456309609965,0.586338769108437,-0.3797282454904165,-0.262923499708398
2010,penobscot.bay,44.020254,-68.661091,59,6.1196739258973505,13.617868845580055,5.052010869958263,13.003046440079347,1.0676630559390876,0.6148224055007088,-0.338097810205344,-0.05443984736944252
2010,penobscot.bay,44.052469,-68.765797,58,6.2553260585536155,14.13303279876709,4.979915460922579,13.537978140817097,1.2754105976310361,0.5950546579499925,-0.30828503173762645,-0.016256848102493393
2010,penobscot.bay,44.119942,-68.703728,59,6.1196739258973505,13.617868845580055,5.052010869958263,13.003046440079347,1.0676630559390876,0.6148224055007088,-0.338097810205344,-0.05443984736944252
2010,york,43.001839,-70.604214,1,7.535760814728944,17.541885243087517,6.36257246935713,16.684052809557194,1.1731883453718135,0.8578324335303229,-0.18507242094779564,-0.27298725454750894
2010,york,43.099699,-70.582306,1,7.535760814728944,17.541885243087517,6.36257246935713,16.684052809557194,1.1731883453718135,0.8578324335303229,-0.18507242094779564,-0.27298725454750894
2010,york,43.333101,-70.503788,17,7.397608707780425,17.24131151887237,6.241243962936355,16.380446258138438,1.15636474484407,0.8608652607339309,-0.14070050022452119,-0.19429874811016035
2011,casco.bay,43.70235,-69.85163,33,5.901847813440404,16.33188518930654,5.956099036091191,15.71133880146214,-0.05425122265078741,0.6205463878443993,1.1316183700365707,0.5341530158871528
2011,casco.bay,43.72486,-69.94028,33,5.901847813440404,16.33188518930654,5.956099036091191,15.71133880146214,-0.05425122265078741,0.6205463878443993,1.1316183700365707,0.5341530158871528
2011,downeast,44.33419,-67.81144,69,4.940108719079391,11.298442621700099,4.818888887115147,11.476479965698088,0.12121983196424413,-0.17803734399798898,0.9036110846892651,0.325897039394345
2011,downeast,44.3357,-68.03724,68,4.96239130652469,11.397786902599647,4.821636472635223,11.464972679949415,0.14075483388946708,-0.06718577734976883,0.9823852564401685,0.332568297403542
2011,downeast,44.34474,-68.04247,68,4.96239130652469,11.397786902599647,4.821636472635223,11.464972679949415,0.14075483388946708,-0.06718577734976883,0.9823852564401685,0.332568297403542
2011,downeast,44.39761,-67.95086,69,4.940108719079391,11.298442621700099,4.818888887115147,11.476479965698088,0.12121983196424413,-0.17803734399798898,0.9036110846892651,0.325897039394345
2011,downeast,44.44721,-67.85321,69,4.940108719079391,11.298442621700099,4.818888887115147,11.476479965698088,0.12121983196424413,-0.17803734399798898,0.9036110846892651,0.325897039394345
2011,downeast,44.44754,-67.83994,69,4.940108719079391,11.298442621700099,4.818888887115147,11.476479965698088,0.12121983196424413,-0.17803734399798898,0.9036110846892651,0.325897039394345
2011,downeast,44.44969,-67.63297,70,4.976739137069039,11.490573746259098,4.87136473459898,11.729193987742148,0.10537440247005936,-0.2386202414830496,0.7859178588586158,0.46367487034511257
2011,downeast,44.46835,-67.74585,70,4.976739137069039,11.490573746259098,4.87136473459898,11.729193987742148,0.10537440247005936,-0.2386202414830496,0.7859178588586158,0.46367487034511257
2011,downeast,44.48499,-67.69122,70,4.976739137069039,11.490573746259098,4.87136473459898,11.729193987742148,0.10537440247005936,-0.2386202414830496,0.7859178588586158,0.46367487034511257
2011,downeast,44.49969,-67.64521,70,4.976739137069039,11.490573746259098,4.87136473459898,11.729193987742148,0.10537440247005936,-0.2386202414830496,0.7859178588586158,0.46367487034511257
2011,downeast,44.50902,-67.69728,70,4.976739137069039,11.490573746259098,4.87136473459898,11.729193987742148,0.10537440247005936,-0.2386202414830496,0.7859178588586158,0.46367487034511257
2011,downeast,44.55448,-67.44584,74,4.853478276211281,11.092213099120094,4.628417873080226,11.280218577341522,0.2250604031310557,-0.18800547822142732,0.8229951752700684,0.7474043959911185
2011,downeast,44.57193,-67.39589,74,4.853478276211281,11.092213099120094,4.628417873080226,11.280218577341522,0.2250604031310557,-0.18800547822142732,0.8229951752700684,0.7474043959911185
2011,downeast,44.57771,-67.48088,74,4.853478276211281,11.092213099120094,4.628417873080226,11.280218577341522,0.2250604031310557,-0.18800547822142732,0.8229951752700684,0.7474043959911185
2011,downeast,44.58508,-67.38414,74,4.853478276211281,11.092213099120094,4.628417873080226,11.280218577341522,0.2250604031310557,-0.18800547822142732,0.8229951752700684,0.7474043959911185
2011,downeast,44.59653,-67.4561,74,4.853478276211281,11.092213099120094,4.628417873080226,11.280218577341522,0.2250604031310557,-0.18800547822142732,0.8229951752700684,0.7474043959911185
2011,downeast,44.59795,-67.41275,74,4.853478276211281,11.092213099120094,4.628417873080226,11.280218577341522,0.2250604031310557,-0.18800547822142732,0.8229951752700684,0.7474043959911185
2011,downeast,44.5987,-67.38786,74,4.853478276211281,11.092213099120094,4.628417873080226,11.280218577341522,0.2250604031310557,-0.18800547822142732,0.8229951752700684,0.7474043959911185
2011,downeast,44.63701,-67.25779,74,4.853478276211281,11.092213099120094,4.628417873080226,11.280218577341522,0.2250604031310557,-0.18800547822142732,0.8229951752700684,0.7474043959911185
2011,downeast,44.6436,-67.19338,75,4.96999999232914,11.422377121253092,4.700229472800153,11.497581975490451,0.26977051952898723,-0.07520485423735934,0.7833574993742847,0.8729098184078357
2011,mdi,44.10514,-68.5657,59,5.128586960875471,13.493032768124442,5.052010869958263,13.003046440079347,0.07657609091720818,0.4899863280450951,1.0676630559390876,0.6148224055007088
2011,mdi,44.10914,-68.49077,60,5.212826073169708,12.951065555947729,5.0704589329911895,12.589148445207565,0.1423671401785187,0.36191711074016375,0.8943236833753225,0.5690482542163036
2011,mdi,44.12279,-68.51235,59,5.128586960875471,13.493032768124442,5.052010869958263,13.003046440079347,0.07657609091720818,0.4899863280450951,1.0676630559390876,0.6148224055007088
2011,mdi,44.19733,-68.32113,60,5.212826073169708,12.951065555947729,5.0704589329911895,12.589148445207565,0.1423671401785187,0.36191711074016375,0.8943236833753225,0.5690482542163036
2011,mdi,44.2829,-68.22105,68,4.96239130652469,11.397786902599647,4.821636472635223,11.464972679949415,0.14075483388946708,-0.06718577734976883,0.9823852564401685,0.332568297403542
2011,mdi,44.32215,-68.18067,68,4.96239130652469,11.397786902599647,4.821636472635223,11.464972679949415,0.14075483388946708,-0.06718577734976883,0.9823852564401685,0.332568297403542
2011,mdi,44.35407,-68.09337,68,4.96239130652469,11.397786902599647,4.821636472635223,11.464972679949415,0.14075483388946708,-0.06718577734976883,0.9823852564401685,0.332568297403542
2011,mdi,44.36767,-68.10566,68,4.96239130652469,11.397786902599647,4.821636472635223,11.464972679949415,0.14075483388946708,-0.06718577734976883,0.9823852564401685,0.332568297403542
2011,midcoast,43.77108,-69.60856,46,5.488478264083035,15.82368849144607,5.532868358895974,14.972846068754006,-0.04439009481293876,0.8508424226920646,1.178218598455043,0.38108838342794904
2011,midcoast,43.78424,-69.70947,46,5.488478264083035,15.82368849144607,5.532868358895974,14.972846068754006,-0.04439009481293876,0.8508424226920646,1.178218598455043,0.38108838342794904
2011,midcoast,43.81638,-69.51929,46,5.488478264083035,15.82368849144607,5.532868358895974,14.972846068754006,-0.04439009481293876,0.8508424226920646,1.178218598455043,0.38108838342794904
2011,midcoast,43.82522,-69.56901,46,5.488478264083035,15.82368849144607,5.532868358895974,14.972846068754006,-0.04439009481293876,0.8508424226920646,1.178218598455043,0.38108838342794904
