year,region,temp_source,mean_temp_spring,mean_temp_summer,max_temp_spring,max_temp_summer,min_temp_spring,min_temp_summer,degree_heat_days_15_spring,degree_heat_days_15_summer,degree_heat_days_20_spring,degree_heat_days_20_summer
2007,casco.bay,casco,3.6204158287659576,15.231878230344828,4.654166667,19.39583333,2.391304348,10.56956522,0,49,0,0
2007,downeast,noaa44027.1m,4.553224981576211,11.002173913043478,7.9,14.2,3.2785705873972986,7.2,0,0,0,0
2007,mdi,I01.1m,4.360869565217391,9.91195652173913,7.2,13.1,3,6.3,0,0,0,0
2007,midcoast,E01.1m,4.9369565217391305,13.825,11.5,18.8,2.4,8.2,0,33,0,0
2007,penobscot.bay,F01.1m,4.5619565217391305,13.296739130434784,13.2,16.1,0.9,9.1,0,11,0,0
2007,york,B01.1mc,6.067391304347827,15.983695652173912,13.2,21.2,3.4,9.6,0,62,0,6
2008,casco.bay,casco,6.19580700327174,16.366304347934783,10.77916667,19.89583333,2.370833333,10.48333333,0,72,0,0
2008,downeast,noaa44027.1m,4.891314256090596,11.857608695652173,7.3,15.4,2.971271597661318,7.2,0,1,0,0
2008,mdi,I01.1m,4.679347826086957,10.668478260869565,8,13.1,2.7,7.2,0,0,0,0
2008,midcoast,E01.1m,5.244565217391304,14.30108695652174,9.5,19.1,2.3,9.5,0,40,0,0
2008,penobscot.bay,F01.1m,5.244565217391305,14.314130434782609,10.3,17.8,1.2,9.1,0,41,0,0
2008,york,B01.1mc,6.127173913043479,16.843478260869563,10.7,20.8,2.6,9.7,0,75,0,4
2009,casco.bay,casco,6.094143287695652,15.861050724945056,12.1625,21.22916667,1.904166667,10.1375,0,54,0,6
2009,downeast,noaa44027.1m,4.908329078805018,11.359643295744208,8.195354423172986,15.05836519394322,3.4,7.2734574539650465,0,1,0,0
2009,mdi,I01.1m,4.409782608695652,10.889130434782608,7.8,14.5,2.4,6.9,0,0,0,0
2009,midcoast,E01.1m,4.9021739130434785,13.907608695652174,9.7,20.6,1.8,7.9,0,37,0,1
2009,penobscot.bay,F01.1m,4.888043478260871,14.056521739130435,10.4,17.9,0.6,8.8,0,37,0,0
2009,york,B01.1mc,5.9206521739130435,15.965217391304348,12.3,21.6,2.8,10.3,0,54,0,8
2010,casco.bay,casco,6.866585841152174,16.388179347826085,13.69583333,19.54583333,3.329166667,12.54166667,0,69,0,0
2010,downeast,noaa44027.1m,5.891304347826087,12.639130434782608,9.9,16.1,3.3,9.6,0,10,0,0
2010,mdi,I01.1m,5.675,11.575,9.5,14.1,3,8.4,0,0,0,0
2010,midcoast,E01.1m,6.368478260869566,15.096739130434782,11.6,17.8,3.5,10.6,0,55,0,0
2010,penobscot.bay,F01.1m,6.411956521739129,14.594565217391304,11.6,18.4,2.8,10.4,0,41,0,0
2010,york,B01.1mc,7.344565217391304,17.446739130434782,14.7,20.6,3.6,13.7,0,79,0,7
2011,casco.bay,casco,6.003753866673914,16.210552536195653,13.77083333,20.36666667,3.120833333,10.30833333,0,68,0,3
2011,downeast,noaa44027.1m,5.1287665880993485,11.609045374370512,9.21968438895959,15.57053017683652,3.3810035839759585,7.990488430015667,0,1,0,0
2011,mdi,I01.1m,4.80625,11.132608695652173,8.8,15,3.1,7.6,0,0,0,0
2011,midcoast,E01.1m,5.302173913043478,14.585869565217392,11.8,18.5,3,9.8,0,48,0,0
2011,penobscot.bay,F01.1m,5.026086956521739,14.358695652173914,12.6,17.7,1.1,9.2,0,38,0,0
2011,york,B01.1mc,6.2771739130434785,16.904347826086955,14.9,20.8,3.4,9.1,0,72,0,6
2012,casco.bay,casco,7.9325434331086955,17.33868344369565,14.9375,21.225,4.5625,10.65833333,0,77,0,10
2012,downeast,noaa44027.1m,6.610869565217391,14.177173913043479,10.9,18.5,5.1,9.7,0,33,0,0
2012,mdi,I01.1m,6.298913043478261,12.648913043478261,9.7,17.4,4.5,8.3,0,6,0,0
2012,midcoast,E01.1m,7.272839506172839,15.934782608695652,13.2,19.3,4.6,9.3,0,68,0,0
2012,penobscot.bay,F01.1m,7.032183908045977,15.453260869565216,14.1,18.7,2.7,10.4,0,62,0,0
2012,york,B01.1mc,8.310869565217391,18.015217391304347,16.2,21.8,5.1,11.1,8,75,0,27
2013,casco.bay,casco,6.572449984195653,15.948848599565217,13.30833333,19.9375,3.066666667,10.99583333,0,62,0,0
2013,downeast,noaa44027.1m,5.620704717644961,11.945652173913043,8.7,14.5,3.8931685668692597,7.5,0,0,0,0
2013,mdi,I01.1m,5.396739130434783,11.51086956521739,8.2,14.2,3.6,8.2,0,0,0,0
2013,midcoast,E01.1m,6.123913043478261,14.858695652173912,9.6,19,4.1,10,0,51,0,0
2013,penobscot.bay,F01.1m,5.780434782608696,14.871739130434783,12.5,20.7,2.1,10,0,47,0,1
2013,york,B01.1mc,6.905434782608696,16.682608695652174,13.3,21.8,3.4,11.7,0,67,0,7
2014,casco.bay,casco,5.759539589963416,15.72674070576087,10.99583333,20.14166667,1.983333333,11.475,0,54,0,1
2014,downeast,noaa44027.1m,5.069565217391304,11.784275906938689,10.3,14.75106620420724,3.6,7.375890450543706,0,0,0,0
2014,mdi,I01.1m,4.518478260869565,11.185869565217391,7.8,14.2,2.4,7,0,0,0,0
2014,midcoast,E01.1m,4.626086956521739,14.716304347826087,8.6,18.4,2.2,8.4,0,52,0,0
2014,penobscot.bay,F01.1m,4.397826086956522,14.228260869565217,10.5,18.4,0.9,9.5,0,35,0,0
2014,york,B01.1mc,5.592391304347827,16.378260869565217,11.7,20.6,2.6,11.3,0,63,0,6
2015,casco.bay,casco,4.742668710413043,14.821384111304347,10.20916667,19.49166667,-0.291964286,10.15064378,0,48,0,0
2015,downeast,noaa44027.1m,NA,10.961045330796813,NA,14.238901221313938,NA,6.761292471071745,NA,0,NA,0
2015,mdi,I01.1m,NA,10.5,NA,13.7,NA,6.4,NA,0,NA,0
2015,midcoast,E01.1m,3.2807692307692307,14.101149425287357,4.2,19.3,2.2,8.7,0,39,0,0
